trade_date,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
20100315,399300.SZ,20100315,3183.183,3231.216,3234.821,3171.803,3233.126,-49.943,-1.5447,37844304.0,49219898.122
20100316,399300.SZ,20100316,3203.971,3183.775,3204.289,3169.098,3183.183,20.788,0.6531,30847780.0,41510426.396
20100317,399300.SZ,20100317,3273.916,3214.216,3273.998,3207.271,3203.971,69.945,2.1831,45800934.0,62587395.428
20100318,399300.SZ,20100318,3267.555,3277.883,3295.368,3256.593,3273.916,-6.361,-0.1943,46948013.0,62509130.228
20100319,399300.SZ,20100319,3293.871,3270.978,3296.411,3251.136,3267.555,26.316,0.8054,46062187.0,62114230.718
20100322,399300.SZ,20100322,3302.628,3297.824,3313.922,3288.506,3293.871,8.757,0.2659,49439462.0,65652976.792
20100323,399300.SZ,20100323,3275.573,3305.554,3309.12,3272.921,3302.628,-27.055,-0.8192,46539536.0,62145531.443
20100324,399300.SZ,20100324,3276.669,3282.052,3298.543,3271.033,3275.573,1.096,0.0335,44547966.0,58330301.241
20100325,399300.SZ,20100325,3229.128,3270.39,3270.39,3222.821,3276.669,-47.541,-1.4509,44984285.0,58604759.567
20100326,399300.SZ,20100326,3275.002,3226.8,3285.388,3220.594,3229.128,45.874,1.4206,47444965.0,61592843.185
20100329,399300.SZ,20100329,3358.54,3295.763,3363.605,3293.671,3275.002,83.538,2.5508,84724910.0,110326973.484
20100330,399300.SZ,20100330,3366.708,3361.353,3372.265,3350.313,3358.54,8.168,0.2432,56436980.0,78682669.413
20100331,399300.SZ,20100331,3345.607,3369.193,3369.901,3338.745,3366.708,-21.101,-0.6268,53124287.0,72120886.278
20100401,399300.SZ,20100401,3391.935,3349.884,3392.481,3349.884,3345.607,46.328,1.3847,67772669.0,92360495.841
20100402,399300.SZ,20100402,3407.346,3400.139,3412.2,3391.806,3391.935,15.411,0.4543,69073452.0,99040760.06
20100406,399300.SZ,20100406,3405.145,3422.849,3436.29,3386.888,3407.346,-2.201,-0.0646,65191710.0,93985883.918
20100407,399300.SZ,20100407,3386.949,3403.088,3404.582,3369.017,3405.145,-18.196,-0.5344,54011228.0,76733159.936
20100408,399300.SZ,20100408,3346.744,3381.306,3381.306,3336.156,3386.949,-40.205,-1.1871,62185322.0,89317468.603
20100409,399300.SZ,20100409,3379.17,3348.773,3379.398,3342.471,3346.744,32.426,0.9689,51280567.0,75590356.319
20100412,399300.SZ,20100412,3351.478,3388.355,3393.557,3330.3,3379.17,-27.692,-0.8195,74565150.0,105996609.644
20100413,399300.SZ,20100413,3391.716,3350.726,3401.707,3324.048,3351.478,40.238,1.2006,79907695.0,116440339.286
20100414,399300.SZ,20100414,3403.707,3394.635,3404.516,3377.437,3391.716,11.991,0.3535,60306131.0,90787568.716
20100415,399300.SZ,20100415,3394.574,3407.025,3412.937,3365.881,3403.707,-9.133,-0.2683,61051685.0,88700235.636
20100416,399300.SZ,20100416,3356.332,3388.286,3388.286,3348.781,3394.574,-38.242,-1.1266,47140368.0,67235596.653
20100419,399300.SZ,20100419,3176.423,3313.499,3313.499,3175.441,3356.332,-179.909,-5.3603,88416300.0,118855971.989
20100420,399300.SZ,20100420,3173.374,3176.414,3196.646,3130.96,3176.423,-3.049,-0.096,64137859.0,88005965.691
20100421,399300.SZ,20100421,3236.679,3178.877,3237.537,3164.765,3173.374,63.305,1.9949,66928331.0,93373377.791
20100422,399300.SZ,20100422,3201.541,3222.68,3231.985,3177.726,3236.679,-35.138,-1.0856,71081688.0,98970386.343
20100423,399300.SZ,20100423,3190.003,3198.784,3224.739,3172.578,3201.541,-11.538,-0.3604,61252679.0,92115669.956
20100426,399300.SZ,20100426,3171.997,3195.457,3207.715,3168.374,3190.003,-18.006,-0.5645,50894199.0,74959121.055
20100427,399300.SZ,20100427,3108.409,3163.101,3163.101,3060.854,3171.997,-63.588,-2.0047,65296574.0,88058360.562
20100428,399300.SZ,20100428,3097.353,3080.324,3122.115,3062.085,3108.409,-11.056,-0.3557,45995406.0,65484924.588
20100429,399300.SZ,20100429,3060.064,3114.941,3130.696,3059.796,3097.353,-37.289,-1.2039,48260971.0,69250868.103
20100430,399300.SZ,20100430,3067.365,3060.12,3068.127,3014.069,3060.064,7.301,0.2386,54477881.0,73190884.013
20100504,399300.SZ,20100504,3019.449,3005.487,3056.082,2994.921,3067.365,-47.916,-1.5621,41248610.0,54558607.131
20100505,399300.SZ,20100505,3036.394,2981.777,3036.865,2943.361,3019.449,16.945,0.5612,59670441.0,80835340.414
20100506,399300.SZ,20100506,2896.856,3014.907,3014.907,2895.392,3036.394,-139.538,-4.5955,58770413.0,81502262.034
20100507,399300.SZ,20100507,2836.789,2835.879,2892.533,2817.153,2896.856,-60.067,-2.0735,61119399.0,79147499.714
